date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
16-09-2010,3032.05,3032.05,2958.25,2965.95,2965.95,886123,-0.027777778,-6,216
17-09-2010,2965.95,3012.5,2959.4,2970.15,2970.15,1077061,-0.005830904,-2,343
20-09-2010,2975,3018,2975,3008.6,3008.6,628247,-0.055276382,-11,199
21-09-2010,3015,3065,2996.6,3059.15,3059.15,1152989,-0.038235294,-13,340
22-09-2010,3060.5,3062.9,2994.45,3014.3,3014.3,1350805,-0.101123596,-18,178
23-09-2010,3005.05,3034.75,2973.05,3022.9,3022.9,1397672,-0.055921053,-17,304
24-09-2010,3022.9,3058.7,2993.65,3049.1,3049.1,1098940,-0.085365854,-28,328
27-09-2010,3055,3060,3023.35,3032.6,3032.6,901290,-0.133956386,-43,321
28-09-2010,3025,3028.1,3001,3016.6,3016.6,776143,-0.116129032,-54,465
29-09-2010,3026,3079,3002.6,3031.05,3031.05,1121615,-0.083870968,-26,310
30-09-2010,3046.95,3075,3007.45,3050.5,3050.5,1708227,-0.11627907,-30,258
01-10-2010,3051,3110.05,3026.3,3102.15,3102.15,1010814,-0.075601375,-22,291
04-10-2010,3112,3162,3062.55,3078.45,3078.45,954580,-0.094462541,-29,307
05-10-2010,3075,3111,3070,3084.7,3084.7,648644,-0.127020785,-55,433
06-10-2010,3106,3122.9,3076.6,3103.8,3103.8,723566,-0.061617458,-48,779
07-10-2010,3089,3097.5,3042,3053.45,3053.45,854209,-0.099540582,-65,653
08-10-2010,3060,3085.65,3037.05,3076.3,3076.3,818520,-0.080614203,-42,521
11-10-2010,3080.3,3097,3058.65,3074.45,3074.45,561729,-0.203184411,-855,4208
12-10-2010,3072,3084.95,3050.3,3075.2,3075.2,578203,-0.184618222,-1001,5422
13-10-2010,3081,3164.8,3075.2,3152.85,3152.85,1628063,-0.155234657,-215,1385
14-10-2010,3165.1,3228.95,3156.2,3185.25,3185.25,1149172,-0.172259508,-154,894
15-10-2010,3200,3238,3061.15,3076.3,3076.3,3233795,-0.119153675,-107,898
18-10-2010,3080.5,3118.9,3039.3,3107.05,3107.05,1573887,-0.081096849,-139,1714
19-10-2010,3094.7,3105.05,3001,3010.2,3010.2,1759714,-0.057106599,-45,788
20-10-2010,3009.8,3044.6,2990,3018.6,3018.6,886732,-0.030757098,-39,1268
21-10-2010,2997.85,3038.4,2980.1,3034.45,3034.45,1153990,-0.005628518,-6,1066
22-10-2010,3005.25,3084.9,3003,3053.15,3053.15,1418218,-0.123966942,-120,968
25-10-2010,3058.8,3074.9,3010.1,3019.15,3019.15,653054,-0.155299056,-148,953
26-10-2010,3020,3043.3,3002.7,3013.85,3013.85,865734,-0.150877193,-86,570
27-10-2010,3002,3010,2967.2,2980.2,2980.2,1134087,-0.125748503,-63,501
28-10-2010,2984,3032.9,2948.05,2970.85,2970.85,2279019,-0.099796334,-49,491
29-10-2010,2989,2998,2944,2971.7,2971.7,860753,-0.06768559,-31,458
01-11-2010,2983,3031.95,2983,3001.65,3001.65,569118,-0.076212471,-33,433
02-11-2010,3002,3032.6,2984.8,3027.05,3027.05,624813,-0.141414141,-56,396
03-11-2010,3031.95,3044.75,3015.05,3024.35,3024.35,380942,-0.060941828,-22,361
04-11-2010,3044,3085,3032.95,3077.15,3077.15,689349,-0.078078078,-26,333
05-11-2010,3083.95,3092,3070.9,3081.65,3081.65,78995,-0.168316832,-68,404
08-11-2010,3084,3084,3006.75,3015.9,3015.9,672690,-0.221590909,-78,352
09-11-2010,3036.8,3075,3030,3059.8,3059.8,658370,-0.093439364,-47,503
10-11-2010,3048,3105,3030.1,3082.65,3082.65,1216054,-0.14953271,-48,321
11-11-2010,3084,3084,3051,3054.65,3054.65,698299,-0.14057508,-44,313
12-11-2010,3038,3038.75,2989,2997.85,2997.85,937432,-0.114583333,-33,288
15-11-2010,3003,3044.95,2977.6,3030.05,3030.05,731311,-0.141552511,-31,219
16-11-2010,3012,3019,2940.25,2970.95,2970.95,1046892,-0.145762712,-43,295
18-11-2010,2989,3031.85,2958.65,3003.95,3003.95,891028,-0.177966102,-42,236
19-11-2010,2987.55,3008.7,2945,2963.8,2963.8,708099,-0.071005917,-24,338
22-11-2010,2971.35,3068,2971.35,3043.7,3043.7,1097518,-0.126279863,-37,293
23-11-2010,3027.9,3058.8,2979.95,3012.1,3012.1,572484,-0.086757991,-19,219
24-11-2010,3023.9,3034.9,2950.25,2995.9,2995.9,504861,-0.202941176,-69,340
25-11-2010,3005.55,3111,3005.55,3064.35,3064.35,2291497,-0.182662539,-59,323
26-11-2010,3070,3104,3026.95,3042.05,3042.05,1189474,-0.088161209,-35,397
29-11-2010,3065,3095.65,3051.15,3063.95,3063.95,620541,-0.088145897,-29,329
30-11-2010,3043.5,3082.7,3012.2,3051,3051,1134068,-0.130597015,-35,268
01-12-2010,3049.8,3066.5,3035,3052.4,3052.4,578012,-0.12962963,-42,324
02-12-2010,3056,3109.4,3032,3098.5,3098.5,899670,-0.050675676,-15,296
03-12-2010,3107,3147.9,3103,3125,3125,830977,-0.099415205,-34,342
06-12-2010,3130,3176.4,3126,3143.4,3143.4,752956,-0.054285714,-19,350
07-12-2010,3145.85,3195,3140.2,3178.6,3178.6,760687,0,0,258
08-12-2010,3159,3164.1,3114,3131.15,3131.15,868889,-0.005208333,-1,192
09-12-2010,3145,3182.1,3141.15,3151.45,3151.45,991391,0.02247191,6,267
10-12-2010,3145,3162,3117.8,3144.25,3144.25,765640,-0.100456621,-22,219
13-12-2010,3149,3156.4,3075,3145.3,3145.3,856135,-0.042801556,-11,257
14-12-2010,3163.7,3174,3126.8,3158.65,3158.65,491698,-0.051162791,-11,215
15-12-2010,3146.7,3209,3146.7,3203.45,3203.45,1031799,-0.091269841,-23,252
16-12-2010,3219.4,3300,3210,3293.3,3293.3,1063643,0.006741573,3,445
20-12-2010,3252.1,3363.8,3252,3349.95,3349.95,1418290,-0.089605735,-25,279
21-12-2010,3350.55,3369.6,3311.05,3329.25,3329.25,1007480,-0.09375,-18,192
22-12-2010,3325,3359.7,3313.75,3332.5,3332.5,740910,-0.112612613,-25,222
23-12-2010,3344,3372,3329.25,3367.9,3367.9,778938,0.017142857,6,350
24-12-2010,3347,3381.8,3342.05,3370.15,3370.15,452508,-0.048689139,-13,267
27-12-2010,3357,3391.8,3357,3376.9,3376.9,461470,-0.051401869,-11,214
28-12-2010,3371,3389.95,3363.5,3382.65,3382.65,319305,-0.094594595,-28,296
29-12-2010,3381,3415,3371.1,3404.9,3404.9,475365,-0.122171946,-27,221
30-12-2010,3410,3454,3402,3446.95,3446.95,1123961,-0.016,-4,250
31-12-2010,3433,3451,3405.15,3442.75,3442.75,732466,-0.017482517,-5,286
03-01-2011,3444,3469.7,3427.7,3458.35,3458.35,631068,-0.064981949,-18,277
04-01-2011,3457,3499,3457,3481.45,3481.45,1014911,-0.070539419,-17,241
05-01-2011,3465,3477,3445.1,3459.6,3459.6,440395,-0.089393939,-59,660
06-01-2011,3480,3493,3444.1,3478.15,3478.15,586480,-0.242612943,-1987,8190
07-01-2011,3463.35,3495,3356.35,3370.75,3370.75,1068866,-0.244598517,-3034,12404
10-01-2011,3375,3443.15,3352,3395.75,3395.75,1298801,-0.229508197,-1106,4819
11-01-2011,3340,3423.4,3288.1,3325.7,3325.7,1539927,-0.170780856,-339,1985
12-01-2011,3350,3390,3318.2,3377.3,3377.3,1254425,-0.177740864,-214,1204
13-01-2011,3293,3299,3195,3205.2,3205.2,2794109,-0.200507614,-237,1182
14-01-2011,3186.15,3277.9,3185,3204.3,3204.3,1290205,-0.175171363,-230,1313
17-01-2011,3200,3281.7,3191.25,3268.8,3268.8,1027327,-0.171802054,-184,1071
18-01-2011,3250,3335.7,3250,3323,3323,1224646,-0.180863477,-155,857
19-01-2011,3307.15,3314,3235.8,3249.6,3249.6,866886,-0.122743682,-68,554
20-01-2011,3232,3307.4,3218.1,3295.9,3295.9,903981,-0.140271493,-62,442
21-01-2011,3271,3278,3231,3243.85,3243.85,578353,-0.188405797,-104,552
24-01-2011,3240,3290,3227.3,3284.65,3284.65,937670,-0.187390543,-107,571
25-01-2011,3265,3304.85,3236.05,3259.65,3259.65,1240739,-0.180272109,-106,588
27-01-2011,3269,3269,3185.5,3196.9,3196.9,1588831,-0.173241852,-101,583
28-01-2011,3205.8,3268.55,3140.65,3168.15,3168.15,1585537,-0.146164978,-101,691
31-01-2011,3138.5,3138.5,3086.2,3117.7,3117.7,968671,-0.2100271,-155,738
01-02-2011,3126.3,3128.4,3043.1,3089.2,3089.2,1287711,-0.1504,-94,625
02-02-2011,3113,3164,3065,3089.25,3089.25,1146841,-0.121703854,-60,493
03-02-2011,3101.4,3153,3086.2,3117.6,3117.6,756176,-0.076576577,-51,666
04-02-2011,3099,3123.7,3026.4,3047.9,3047.9,869985,-0.158536585,-91,574
07-02-2011,3074.9,3113.9,3061,3087.45,3087.45,917641,-0.212475634,-109,513
08-02-2011,3100,3120,3072,3096.6,3096.6,752999,-0.148325359,-62,418
09-02-2011,3085,3159.7,3067.9,3130.7,3130.7,938018,-0.147420147,-60,407
10-02-2011,3105.65,3114,3041,3053.2,3053.2,1031519,-0.104683196,-38,363
11-02-2011,3030.2,3068.7,3020.35,3040.85,3040.85,1401769,-0.127710843,-53,415
14-02-2011,3044,3118.3,3040.5,3104.55,3104.55,872381,-0.064794816,-30,463
15-02-2011,3100,3129,3074.15,3106.55,3106.55,574994,-0.081339713,-34,418
16-02-2011,3082.25,3123.7,3081.1,3103,3103,365048,-0.070754717,-30,424
17-02-2011,3118.5,3128,3102.2,3113.35,3113.35,424123,-0.039014374,-19,487
18-02-2011,3125,3145,3089.1,3100.3,3100.3,887788,-0.101214575,-50,494
21-02-2011,3100,3177.8,3076,3165.25,3165.25,1174869,-0.030357143,-17,560
22-02-2011,3140.2,3167,3114,3141.85,3141.85,760706,-0.081012658,-32,395
23-02-2011,3105.9,3105.9,3070.05,3078.8,3078.8,884548,-0.145522388,-39,268
24-02-2011,3050,3080,2995,3008.8,3008.8,2060815,-0.18,-63,350
25-02-2011,3023.2,3042.65,2966,3007.3,3007.3,1295840,-0.130331754,-110,844
28-02-2011,3022,3134.8,2967.4,2997.1,2997.1,1814309,-0.163355408,-74,453
01-03-2011,3030,3108,3008,3082.4,3082.4,1047204,-0.15625,-90,576
03-03-2011,3058.1,3059,3001,3026.1,3026.1,1571482,-0.171284635,-68,397
04-03-2011,3067,3090,3048,3062.2,3062.2,1221364,-0.164750958,-86,522
07-03-2011,3036,3075,3025.5,3042.7,3042.7,919716,-0.14232902,-77,541
08-03-2011,3030.25,3132,3020.2,3116.3,3116.3,1064314,-0.125326371,-48,383
09-03-2011,3120,3132.8,3071,3095.5,3095.5,834555,-0.013793103,-4,290
10-03-2011,3095,3100,3062.5,3090.25,3090.25,429775,-0.174846626,-114,652
11-03-2011,3068,3079,3045,3053.9,3053.9,909784,-0.033898305,-22,649
14-03-2011,3035,3108,3030.65,3100.8,3100.8,444744,-0.078402367,-53,676
15-03-2011,3032,3058.9,3006,3030.15,3030.15,1129728,-0.065743945,-38,578
16-03-2011,3025,3061.45,3020.05,3030.9,3030.9,699340,-0.035608309,-12,337
17-03-2011,2984.1,2999,2971,2978.7,2978.7,1040172,-0.088,-33,375
18-03-2011,2980.15,2994.8,2932.6,2941.1,2941.1,933500,-0.082872928,-30,362
21-03-2011,2951.4,2957,2904.35,2922.3,2922.3,825887,-0.066666667,-28,420
22-03-2011,2935.15,2956.75,2924,2943.05,2943.05,639968,-0.127020785,-55,433
23-03-2011,2934.75,2998.8,2927,2993.35,2993.35,908340,-0.061617458,-48,779
24-03-2011,2992.95,3012.2,2978.75,3002.8,3002.8,1023654,-0.099540582,-65,653
25-03-2011,3044,3185,3040.05,3163.05,3163.05,1582849,-0.080614203,-42,521
28-03-2011,3139,3157.55,3109.75,3139.55,3139.55,1507079,-0.203184411,-855,4208
29-03-2011,3132,3188.7,3128.95,3173.35,3173.35,1232574,-0.184618222,-1001,5422
30-03-2011,3172,3203.5,3156.65,3170.9,3170.9,701016,-0.155234657,-215,1385
31-03-2011,3182,3265,3163.9,3241.3,3241.3,2354991,-0.172259508,-154,894
01-04-2011,3235.1,3256.25,3208,3218.15,3218.15,698536,-0.119153675,-107,898
04-04-2011,3225,3296,3221,3283.15,3283.15,921999,-0.081096849,-139,1714
05-04-2011,3276.95,3293,3231.1,3283.25,3283.25,537817,-0.057106599,-45,788
06-04-2011,3279,3299,3252.05,3275.15,3275.15,845865,-0.030757098,-39,1268
07-04-2011,3261.9,3261.9,3237.7,3245.9,3245.9,475036,-0.005628518,-6,1066
08-04-2011,3242,3264.65,3207.45,3227.3,3227.3,604116,-0.123966942,-120,968
11-04-2011,3195.3,3261.8,3181,3241.6,3241.6,1000008,-0.155299056,-148,953
13-04-2011,3211,3317.1,3196,3306.2,3306.2,1383613,-0.150877193,-86,570
15-04-2011,3296.15,3298.6,2977.5,2989.5,2989.5,10127467,-0.125748503,-63,501
18-04-2011,2919,2967,2880,2906.1,2906.1,5135839,-0.099796334,-49,491
19-04-2011,2906,2927,2881,2887.35,2887.35,2401329,-0.06768559,-31,458
20-04-2011,2919,2927.9,2891,2907.3,2907.3,2243732,-0.076212471,-33,433
21-04-2011,2918.7,2940.5,2901.1,2910,2910,2994212,-0.141414141,-56,396
25-04-2011,2915,2963.95,2907.4,2941.3,2941.3,1940905,-0.060941828,-22,361
26-04-2011,2935,2954.95,2920,2942.35,2942.35,2278860,-0.078078078,-26,333
27-04-2011,2945,2964.65,2942.5,2953.15,2953.15,1247666,-0.168316832,-68,404
28-04-2011,2949,2958,2921,2929.15,2929.15,2927413,-0.221590909,-78,352
29-04-2011,2910,2929,2887.95,2906.25,2906.25,2031792,-0.093439364,-47,503
02-05-2011,2919.05,2944,2910,2922.55,2922.55,1683523,-0.14953271,-48,321
03-05-2011,2920,2957.15,2899.95,2911.05,2911.05,1654255,-0.14057508,-44,313
04-05-2011,2901,2905,2842.75,2869.75,2869.75,2115550,-0.114583333,-33,288
05-05-2011,2867.3,2878.9,2837,2848.5,2848.5,1582654,-0.141552511,-31,219
06-05-2011,2857.9,2910,2848,2893,2893,1491333,-0.145762712,-43,295
09-05-2011,2910,2917,2867.5,2908.55,2908.55,617275,-0.177966102,-42,236
10-05-2011,2907.7,2924.9,2872,2880.05,2880.05,609171,-0.071005917,-24,338
11-05-2011,2882,2924,2879.95,2906.05,2906.05,801259,-0.126279863,-37,293
12-05-2011,2897.9,2909,2872,2881.25,2881.25,624560,-0.086757991,-19,219
13-05-2011,2883.2,2912,2871.25,2878.35,2878.35,1035292,-0.202941176,-69,340
16-05-2011,2876,2876,2842.35,2850.4,2850.4,808671,-0.182662539,-59,323
17-05-2011,2848.4,2877.3,2823.95,2844.15,2844.15,946309,-0.088161209,-35,397
18-05-2011,2850,2882.35,2803,2842.5,2842.5,1272062,-0.088145897,-29,329
19-05-2011,2859.7,2859.7,2835.6,2846.45,2846.45,931995,-0.130597015,-35,268
20-05-2011,2845,2863.7,2832.15,2849.85,2849.85,1002959,-0.12962963,-42,324
23-05-2011,2847.85,2852.8,2827.85,2837.05,2837.05,847360,-0.050675676,-15,296
24-05-2011,2833,2863.85,2833,2844.5,2844.5,953183,-0.099415205,-34,342
25-05-2011,2827.7,2827.7,2756.6,2788.65,2788.65,1384427,-0.054285714,-19,350
26-05-2011,2794,2797.75,2758,2776.55,2776.55,1059522,0,0,258
27-05-2011,2760,2807,2760,2787.5,2787.5,783118,-0.005208333,-1,192
30-05-2011,2806.1,2806.1,2761,2780.6,2780.6,858419,0.02247191,6,267
31-05-2011,2793,2818,2776.55,2785.65,2785.65,2551326,-0.100456621,-22,219
01-06-2011,2794,2824,2784,2811.55,2811.55,1013233,-0.042801556,-11,257
02-06-2011,2780,2820,2777,2803.05,2803.05,889661,-0.051162791,-11,215
03-06-2011,2811,2842.8,2810.9,2816.2,2816.2,786673,-0.091269841,-23,252
06-06-2011,2822,2845.95,2795.15,2837.9,2837.9,471158,0.006741573,3,445
07-06-2011,2830.05,2904,2830.05,2892.55,2892.55,997333,-0.089605735,-25,279
08-06-2011,2889,2892.2,2867.25,2871.7,2871.7,743246,-0.09375,-18,192
09-06-2011,2881.5,2881.5,2854.55,2861.5,2861.5,527702,-0.112612613,-25,222
10-06-2011,2868.5,2880.8,2851.2,2862.35,2862.35,898408,0.017142857,6,350
13-06-2011,2848.5,2882.2,2819.7,2877.6,2877.6,966648,-0.048689139,-13,267
14-06-2011,2877.8,2883.5,2864.75,2872.3,2872.3,983763,-0.051401869,-11,214
15-06-2011,2861.75,2861.75,2826.9,2835.6,2835.6,916985,-0.094594595,-28,296
16-06-2011,2829,2829,2795.05,2800.3,2800.3,953620,-0.122171946,-27,221
17-06-2011,2800.1,2803.35,2731.3,2769.65,2769.65,1065646,-0.016,-4,250
20-06-2011,2768.3,2779.75,2652.5,2709.55,2709.55,1557269,-0.017482517,-5,286
21-06-2011,2723,2755,2693.3,2727.15,2727.15,942852,-0.064981949,-18,277
22-06-2011,2753,2781.7,2742.1,2755.05,2755.05,703125,-0.070539419,-17,241
23-06-2011,2750,2789.1,2735.5,2779.1,2779.1,519846,-0.089393939,-59,660
24-06-2011,2791,2877.7,2791,2859.95,2859.95,1402411,-0.242612943,-1987,8190
27-06-2011,2831.65,2923,2820.25,2871.05,2871.05,1340537,-0.244598517,-3034,12404
28-06-2011,2870.05,2876.85,2843.8,2865.3,2865.3,560849,-0.229508197,-1106,4819
29-06-2011,2868,2907,2868,2881.75,2881.75,600094,-0.170780856,-339,1985
30-06-2011,2886.05,2919,2881.5,2910.45,2910.45,1417730,-0.177740864,-214,1204
01-07-2011,2935,2969.95,2924.1,2934.15,2934.15,800308,-0.200507614,-237,1182
04-07-2011,2966.65,2977,2935,2938.95,2938.95,514324,-0.175171363,-230,1313
05-07-2011,2957,2969.9,2926,2956.45,2956.45,802966,-0.171802054,-184,1071
06-07-2011,2947,2972.45,2937.1,2953.7,2953.7,430028,-0.180863477,-155,857
07-07-2011,2955.2,3000,2943,2995.7,2995.7,718934,-0.122743682,-68,554
08-07-2011,3000,3023.9,2967.25,2976.55,2976.55,708724,-0.140271493,-62,442
11-07-2011,2953.9,2976.1,2888.55,2921.15,2921.15,1150815,-0.188405797,-104,552
12-07-2011,2850,2850,2746.8,2791.55,2791.55,3706582,-0.187390543,-107,571
13-07-2011,2766,2807.35,2761.05,2777.3,2777.3,1667271,-0.180272109,-106,588
14-07-2011,2760.25,2764,2731,2740.35,2740.35,1361403,-0.173241852,-101,583
15-07-2011,2744,2762.95,2720,2731.35,2731.35,799078,-0.146164978,-101,691
18-07-2011,2735,2743.25,2707.35,2713.4,2713.4,1176082,-0.2100271,-155,738
19-07-2011,2721,2762,2716.65,2750.5,2750.5,1040553,-0.1504,-94,625
20-07-2011,2772.8,2772.8,2745,2752.45,2752.45,777839,-0.121703854,-60,493
21-07-2011,2745.2,2784.5,2736.8,2768.1,2768.1,737136,-0.076576577,-51,666
22-07-2011,2784.3,2844,2770,2828.25,2828.25,968703,-0.158536585,-91,574
25-07-2011,2818,2825.05,2791.1,2807.75,2807.75,925532,-0.212475634,-109,513
26-07-2011,2809,2824,2787.5,2801.8,2801.8,856092,-0.148325359,-62,418
27-07-2011,2801,2835.9,2791.2,2796.65,2796.65,1063305,-0.147420147,-60,407
28-07-2011,2765,2773.9,2734.5,2751.1,2751.1,1185172,-0.104683196,-38,363
29-07-2011,2741,2782.45,2725.4,2775.9,2775.9,1219699,-0.127710843,-53,415
01-08-2011,2780.1,2823.8,2780.1,2815.1,2815.1,761869,-0.064794816,-30,463
02-08-2011,2798.55,2798.55,2745,2750.95,2750.95,616566,-0.081339713,-34,418
03-08-2011,2735,2739.7,2708.5,2732.6,2732.6,705761,-0.070754717,-30,424
04-08-2011,2740,2759.95,2704,2709.15,2709.15,816236,-0.039014374,-19,487
05-08-2011,2643.6,2643.6,2525,2591.2,2591.2,1969759,-0.101214575,-50,494
08-08-2011,2500,2500,2431,2470.5,2470.5,2021280,-0.030357143,-17,560
09-08-2011,2351,2439.95,2350.2,2374.55,2374.55,2106218,-0.081012658,-32,395
10-08-2011,2448,2476.4,2411.1,2447.1,2447.1,1744495,-0.145522388,-39,268
11-08-2011,2432,2469,2414.95,2440.6,2440.6,1025779,-0.18,-63,350
12-08-2011,2488,2488,2342.35,2375.2,2375.2,1762260,-0.130331754,-110,844
16-08-2011,2430,2438.25,2372.3,2399.3,2399.3,1268338,-0.163355408,-74,453
17-08-2011,2396,2465.5,2396,2448.95,2448.95,1066416,-0.15625,-90,576
18-08-2011,2465,2468.1,2343,2354.1,2354.1,1334333,-0.171284635,-68,397
19-08-2011,2274,2274,2171.6,2224.7,2224.7,3612400,-0.164750958,-86,522
22-08-2011,2213.9,2245.1,2175,2194.6,2194.6,1963509,-0.14232902,-77,541
23-08-2011,2201.25,2302.65,2194,2276.95,2276.95,2142930,-0.125326371,-48,383
24-08-2011,2280,2284.95,2230,2250.9,2250.9,1075768,-0.013793103,-4,290
25-08-2011,2250.2,2265.1,2161.5,2183.4,2183.4,3356719,-0.174846626,-114,652
26-08-2011,2186.5,2252.9,2182.65,2202.55,2202.55,2627745,-0.033898305,-22,649
29-08-2011,2239,2312.25,2232,2296.25,2296.25,1402816,-0.078402367,-53,676
30-08-2011,2331,2360,2280,2342.95,2342.95,1517865,-0.065743945,-38,578
02-09-2011,2385,2385,2275.3,2319.2,2319.2,1870113,-0.035608309,-12,337
05-09-2011,2293.7,2293.7,2240.2,2265.1,2265.1,1362818,-0.088,-33,375
06-09-2011,2253.9,2320,2222.25,2302.55,2302.55,1352087,-0.082872928,-30,362
07-09-2011,2297.9,2314.3,2267.65,2291.45,2291.45,1644679,-0.15625,-55,352
08-09-2011,2300,2354,2299,2338.45,2338.45,1378484,-0.04046,-14,346
09-09-2011,2328.1,2328.1,2261,2274.3,2274.3,1549013,-0.03311,-10,302
12-09-2011,2208,2217.35,2180.65,2198.45,2198.45,1024783,-0.03715,-12,323
13-09-2011,2223.1,2259.7,2195.75,2222.05,2222.05,1295652,-0.08741,-25,286
14-09-2011,2251,2366.9,2249,2351.65,2351.65,2154610,-0.10606,-28,264
