date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
19-08-2014,620.5,625.65,613,615.3,615.3,640905,-0.099540582,-65,653
20-08-2014,614,619.4,605.1,612.5,612.5,1083389,-0.080614203,-42,521
21-08-2014,614,624.55,611.15,613.9,613.9,827640,-0.203184411,-855,4208
22-08-2014,613,619,609.05,610.2,610.2,662770,-0.184618222,-1001,5422
25-08-2014,615.9,617.25,602,604.6,604.6,873238,-0.155234657,-215,1385
26-08-2014,604,612,603.35,608,608,780261,-0.172259508,-154,894
27-08-2014,606.5,619.55,606.5,617.45,617.45,1286406,-0.119153675,-107,898
28-08-2014,620.15,631.9,620.05,624.2,624.2,2298792,-0.081096849,-139,1714
01-09-2014,627.1,634.9,627.1,629.8,629.8,744728,-0.057106599,-45,788
02-09-2014,629.75,635.8,622.05,624.25,624.25,750353,-0.030757098,-39,1268
03-09-2014,630,631.95,622.7,626.35,626.35,1140665,-0.005628518,-6,1066
04-09-2014,625.25,636.75,622.1,632.35,632.35,1322883,-0.123966942,-120,968
05-09-2014,634.9,649.85,634.9,647.05,647.05,1563632,-0.155299056,-148,953
08-09-2014,650,680.85,650,676,676,2284209,-0.150877193,-86,570
09-09-2014,674.8,680.95,663.05,665.15,665.15,939947,-0.125748503,-63,501
10-09-2014,663,664.4,652.1,653.9,653.9,788175,-0.099796334,-49,491
11-09-2014,655,664,655,656.6,656.6,710191,-0.06768559,-31,458
12-09-2014,655.15,675.7,655.15,671.8,671.8,1101264,-0.076212471,-33,433
15-09-2014,667,669.95,658.1,661.45,661.45,1104474,-0.141414141,-56,396
16-09-2014,662,663.95,643,646.8,646.8,896478,-0.060941828,-22,361
17-09-2014,647.2,653.85,641.15,645.95,645.95,1158609,-0.078078078,-26,333
18-09-2014,641.25,663.9,641.25,659.55,659.55,811042,-0.168316832,-68,404
19-09-2014,662.4,674,662,669.5,669.5,1293093,-0.221590909,-78,352
22-09-2014,665.8,667.15,645.7,652.75,652.75,1317978,-0.093439364,-47,503
23-09-2014,652.5,656.9,628.3,634.8,634.8,1416455,-0.14953271,-48,321
24-09-2014,630,641.65,625,637.85,637.85,1688958,-0.14057508,-44,313
25-09-2014,641.5,643,618.1,620.65,620.65,1269854,-0.114583333,-33,288
26-09-2014,618,630.95,612,627.4,627.4,1411716,-0.141552511,-31,219
29-09-2014,629,634.05,623.35,625.5,625.5,1331626,-0.145762712,-43,295
30-09-2014,625,638.7,622.4,629.55,629.55,2073763,-0.177966102,-42,236
01-10-2014,630,639.5,626.45,631.7,631.7,580366,-0.071005917,-24,338
07-10-2014,625.5,637.55,625.2,629.1,629.1,1431462,-0.126279863,-37,293
08-10-2014,625,640.8,623.4,635.3,635.3,1066246,-0.086757991,-19,219
09-10-2014,639.95,657.85,639.8,655.15,655.15,1160688,-0.202941176,-69,340
10-10-2014,648.6,673.2,643.35,663.25,663.25,1533600,-0.182662539,-59,323
13-10-2014,661.9,665,649,655.65,655.65,1041522,-0.088161209,-35,397
14-10-2014,663.9,663.9,644.45,646.1,646.1,784209,-0.088145897,-29,329
16-10-2014,646.1,647.45,621.65,625.9,625.9,1335184,-0.130597015,-35,268
17-10-2014,632,644,630,640.1,640.1,1194425,-0.12962963,-42,324
20-10-2014,646,657,645.25,647.6,647.6,1135010,-0.050675676,-15,296
21-10-2014,652,653.2,638.5,644.25,644.25,1320367,-0.099415205,-34,342
22-10-2014,649.8,658.3,633.55,644,644,3318551,-0.054285714,-19,350
23-10-2014,650,655.5,650,652.45,652.45,241863,0,0,258
27-10-2014,657.5,658.8,647.2,648.75,648.75,1828483,-0.005208333,-1,192
28-10-2014,648.85,653.6,644.1,646.7,646.7,974665,0.02247191,6,267
29-10-2014,653.95,653.95,642,646.4,646.4,1472338,-0.100456621,-22,219
30-10-2014,644.65,647.5,641.1,644.7,644.7,1961313,-0.042801556,-11,257
31-10-2014,647.1,658,647.1,657,657,1568966,-0.051162791,-11,215
03-11-2014,660.9,663,650.65,653.6,653.6,1127612,-0.091269841,-23,252
05-11-2014,660.9,664.8,655,657.3,657.3,2038028,0.006741573,3,445
07-11-2014,660,660.05,637,646.1,646.1,1491347,-0.089605735,-25,279
10-11-2014,646.15,654,643,648.9,648.9,1507972,-0.09375,-18,192
11-11-2014,648.25,655.9,644.5,649.3,649.3,1412600,-0.112612613,-25,222
12-11-2014,649,654.7,642,644,644,864869,0.017142857,6,350
13-11-2014,646,651,640,644.8,644.8,1113887,-0.048689139,-13,267
14-11-2014,646.9,674.4,642.45,672.2,672.2,5337199,-0.051401869,-11,214
17-11-2014,675.4,694.95,675,691.95,691.95,2528265,-0.094594595,-28,296
18-11-2014,695,703.6,683.1,700.9,700.9,1356980,-0.122171946,-27,221
19-11-2014,699.7,700.6,675.1,683.1,683.1,1515771,-0.016,-4,250
20-11-2014,684.8,693.5,680,690.55,690.55,647552,-0.017482517,-5,286
21-11-2014,691.8,696.8,685,692.15,692.15,1211218,-0.064981949,-18,277
24-11-2014,693.8,694.8,680.7,691.1,691.1,1103930,-0.070539419,-17,241
25-11-2014,688.95,694.7,682.35,691.75,691.75,1054109,-0.089393939,-59,660
26-11-2014,693.9,709.5,692.1,704.75,704.75,1470743,-0.242612943,-1987,8190
