date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
08-04-2013,1498.9,1498.9,1475,1480.75,1480.75,448208,-0.171802054,-184,1071
09-04-2013,1480,1513,1477.6,1497.4,1497.4,836177,-0.180863477,-155,857
10-04-2013,1509.9,1538.9,1501,1530.45,1530.45,1023142,-0.122743682,-68,554
11-04-2013,1540,1550.1,1520.7,1536.9,1536.9,1122329,-0.140271493,-62,442
12-04-2013,1481.9,1524.5,1478.35,1511.75,1511.75,2516030,-0.188405797,-104,552
15-04-2013,1513.5,1514,1448.35,1472.45,1472.45,2695748,-0.187390543,-107,571
16-04-2013,1470,1493.45,1457.95,1483.15,1483.15,1535791,-0.180272109,-106,588
17-04-2013,1495,1499,1431,1456.65,1456.65,2639502,-0.173241852,-101,583
18-04-2013,1487.95,1494.9,1427.45,1452.75,1452.75,4277229,-0.146164978,-101,691
22-04-2013,1446,1459.8,1425,1425.3,1425.3,1481242,-0.2100271,-155,738
23-04-2013,1424.45,1448,1424,1430.55,1430.55,1692085,-0.1504,-94,625
25-04-2013,1430.55,1430.55,1398.65,1402.3,1402.3,3964597,-0.121703854,-60,493
26-04-2013,1393,1393.45,1365.1,1369.35,1369.35,2377038,-0.076576577,-51,666
29-04-2013,1365,1384.7,1365,1370.75,1370.75,1984458,-0.158536585,-91,574
30-04-2013,1368,1382,1365,1378.4,1378.4,2010285,-0.212475634,-109,513
02-05-2013,1373.5,1438.8,1373.5,1433.9,1433.9,2815163,-0.148325359,-62,418
03-05-2013,1426,1447.25,1407.9,1418.5,1418.5,1820895,-0.147420147,-60,407
06-05-2013,1420,1472.4,1420,1467.2,1467.2,1863559,-0.104683196,-38,363
07-05-2013,1467.1,1478.85,1457.4,1471.6,1471.6,1130090,-0.127710843,-53,415
08-05-2013,1472,1487.8,1470,1480.1,1480.1,884065,-0.064794816,-30,463
09-05-2013,1483.2,1503.45,1483,1498.45,1498.45,974850,-0.081339713,-34,418
10-05-2013,1498.45,1510.9,1491.1,1495.9,1495.9,569857,-0.070754717,-30,424
11-05-2013,1495,1495,1486.1,1489.65,1489.65,28017,-0.039014374,-19,487
13-05-2013,1480,1481,1445.7,1451.6,1451.6,931249,-0.101214575,-50,494
14-05-2013,1455.1,1470.55,1443.75,1457.95,1457.95,1125050,-0.030357143,-17,560
15-05-2013,1458.1,1477.2,1450,1471.55,1471.55,1782963,-0.081012658,-32,395
16-05-2013,1469,1469,1447.45,1454.05,1454.05,1207826,-0.145522388,-39,268
17-05-2013,1455,1478.5,1454.1,1473.8,1473.8,1450100,-0.18,-63,350
20-05-2013,1471.25,1478,1461,1472.4,1472.4,692752,-0.130331754,-110,844
21-05-2013,1465,1502,1465,1492.85,1492.85,949216,-0.163355408,-74,453
22-05-2013,1498,1509.15,1492.3,1498.4,1498.4,923472,-0.15625,-90,576
23-05-2013,1495,1526.75,1478.35,1492.7,1492.7,1531981,-0.171284635,-68,397
24-05-2013,1500,1502.95,1463.6,1469.55,1469.55,793306,-0.164750958,-86,522
27-05-2013,1469.5,1500,1460,1498,1498,1011932,-0.14232902,-77,541
28-05-2013,1498,1516.5,1490.3,1514.1,1514.1,700127,-0.125326371,-48,383
29-05-2013,1516,1527.5,1485.1,1497.35,1497.35,726019,-0.013793103,-4,290
30-05-2013,1500,1512,1487,1499.4,1499.4,1204173,-0.174846626,-114,652
31-05-2013,1491,1509.25,1476.75,1498.45,1498.45,964934,-0.033898305,-22,649
03-06-2013,1504,1507,1457.1,1469.4,1469.4,1548806,-0.078402367,-53,676
04-06-2013,1460,1473.9,1450.15,1465.35,1465.35,652660,-0.065743945,-38,578
05-06-2013,1461.1,1472.65,1452.7,1467.8,1467.8,864338,-0.035608309,-12,337
06-06-2013,1453.7,1478.5,1452.05,1470.75,1470.75,1270226,-0.088,-33,375
07-06-2013,1470.1,1539,1468,1518.95,1518.95,1775422,-0.082872928,-30,362
10-06-2013,1525.05,1544.7,1519.1,1525.05,1525.05,1680215,-0.066666667,-28,420
11-06-2013,1530.2,1542,1492,1501.55,1501.55,1102734,-0.06231454,-21,337
12-06-2013,1494.1,1495.1,1462.05,1468.1,1468.1,2402977,-0.058823529,-25,425
13-06-2013,1460,1464,1435.1,1445.65,1445.65,1575671,-0.014869888,-8,538
14-06-2013,1448,1457.25,1431,1450.7,1450.7,1552998,-0.055427252,-24,433
17-06-2013,1453,1465,1428,1452.45,1452.45,1292081,-0.043010753,-12,279
18-06-2013,1455,1460,1440.15,1443.8,1443.8,1145764,-0.035928144,-12,334
19-06-2013,1454.9,1454.9,1423.55,1427.7,1427.7,1069894,-0.026058632,-8,307
20-06-2013,1421,1433.15,1399.1,1404.5,1404.5,2086439,-0.088803089,-23,259
21-06-2013,1408.8,1431.85,1408,1422.25,1422.25,1424112,-0.073800738,-20,271
24-06-2013,1415,1434.1,1400.1,1410.7,1410.7,944582,-0.042168675,-14,332
25-06-2013,1413.5,1427.1,1380.7,1392.3,1392.3,930274,0.014256619,7,491
26-06-2013,1396.9,1447.75,1381.05,1437.7,1437.7,1163244,-0.009584665,-3,313
27-06-2013,1447.8,1497,1442,1491.9,1491.9,1910339,-0.115168539,-41,356
28-06-2013,1495,1524.3,1458.2,1518.15,1518.15,2408548,-0.073015873,-23,315
01-07-2013,1512,1516.7,1483.4,1492.35,1492.35,677326,-0.013937282,-4,287
02-07-2013,1493.1,1508.5,1486.65,1500.55,1500.55,828621,0.003597122,1,278
03-07-2013,1497.7,1519,1465,1489.8,1489.8,765453,-0.092307692,-36,390
04-07-2013,1490.85,1541,1490,1538.3,1538.3,958530,-0.045070423,-16,355
05-07-2013,1542,1558,1522,1530.2,1530.2,646506,-0.050938338,-19,373
08-07-2013,1528,1535,1500,1506.65,1506.65,829398,-0.09486166,-24,253
